,year,LocationAbbr,state,Disability_Type,Disability_Percent,Number,Estimated_Number,id
213,2016,LA,Louisiana,Vision Disability,0.0559999999999999,348.0,200841.0,22
214,2016,KY,Kentucky,Vision Disability,0.064,769.0,227797.0,21
215,2016,KY,Kentucky,Cognitive Disability,0.148,1471.0,498920.0,21
216,2016,IN,Indiana,Hearing Disability,0.046,786.0,253704.0,18
217,2016,KS,Kansas,Mobility Disability,0.106,1824.0,242329.0,20
218,2016,KS,Kansas,Cognitive Disability,0.084,960.0,176297.0,20
219,2016,IL,Illinois,No Disability,0.8,3481.0,7557255.0,17
220,2016,ME,Maine,Hearing Disability,0.052,734.0,67021.0,23
221,2016,IL,Illinois,Self-care Disability,0.034,206.0,347484.0,17
222,2016,IA,Iowa,Independent Living Disability,0.049,417.0,118527.0,19
223,2016,IN,Indiana,Independent Living Disability,0.064,864.0,327997.0,18
224,2016,IA,Iowa,Cognitive Disability,0.094,598.0,220490.0,19
225,2016,MD,Maryland,Self-care Disability,0.024,637.0,115513.0,24
226,2016,IL,Illinois,Cognitive Disability,0.078,347.0,751868.0,17
227,2016,ME,Maine,Independent Living Disability,0.074,661.0,75439.0,23
228,2016,KS,Kansas,Any Disability,0.225,3172.0,491285.0,20
229,2016,IN,Indiana,Any Disability,0.237,3151.0,1219518.0,18
230,2016,MD,Maryland,Cognitive Disability,0.09,1452.0,397604.0,24
231,2016,IA,Iowa,Mobility Disability,0.102,1079.0,268144.0,19
232,2016,KY,Kentucky,Mobility Disability,0.185,2469.0,684859.0,21
233,2016,KY,Kentucky,No Disability,0.6679999999999999,6065.0,2173212.0,21
234,2016,MD,Maryland,Mobility Disability,0.104,2830.0,513677.0,24
235,2016,IL,Illinois,Mobility Disability,0.1119999999999999,692.0,1169447.0,17
236,2016,KY,Kentucky,Independent Living Disability,0.0969999999999999,1092.0,337977.0,21
237,2016,KS,Kansas,Self-care Disability,0.026,387.0,57491.0,20
238,2016,IL,Illinois,Hearing Disability,0.034,247.0,367788.0,17
239,2016,MD,Maryland,Vision Disability,0.03,674.0,141027.0,24
240,2016,KS,Kansas,Independent Living Disability,0.053,706.0,114021.0,20
241,2016,LA,Louisiana,Any Disability,0.304,1871.0,1081030.0,22
242,2016,IL,Illinois,Independent Living Disability,0.055,324.0,555343.0,17
243,2016,IN,Indiana,Self-care Disability,0.03,422.0,157161.0,18
244,2016,IN,Indiana,No Disability,0.763,7529.0,3682315.0,18
245,2016,MD,Maryland,Independent Living Disability,0.055,1209.0,257789.0,24
246,2016,IN,Indiana,Mobility Disability,0.12,1943.0,648933.0,18
247,2016,LA,Louisiana,Cognitive Disability,0.155,714.0,536342.0,22
248,2016,ME,Maine,Cognitive Disability,0.11,879.0,109080.0,23
249,2016,LA,Louisiana,Hearing Disability,0.05,395.0,186397.0,22
250,2016,IA,Iowa,Self-care Disability,0.03,253.0,74118.0,19
251,2016,IN,Indiana,Cognitive Disability,0.1009999999999999,986.0,498448.0,18
252,2016,KY,Kentucky,Hearing Disability,0.095,1173.0,352389.0,21
253,2016,IA,Iowa,No Disability,0.787,5136.0,1812761.0,19
254,2016,ME,Maine,Self-care Disability,0.023,292.0,27150.0,23
255,2016,KS,Kansas,Vision Disability,0.036,442.0,78698.0,20
256,2016,KS,Kansas,Hearing Disability,0.065,1024.0,148822.0,20
257,2016,IL,Illinois,Any Disability,0.2,1139.0,2025310.0,17
258,2016,NV,Nevada,Mobility Disability,0.131,703.0,312473.0,32
259,2016,MA,Massachusetts,Independent Living Disability,0.059,568.0,316508.0,25
260,2016,NE,Nebraska,Any Disability,0.208,3868.0,309584.0,31
261,2016,MS,Mississippi,No Disability,0.665,2978.0,1422887.0,28
262,2016,MN,Minnesota,Mobility Disability,0.0969999999999999,2103.0,439453.0,27
263,2016,MI,Michigan,Mobility Disability,0.144,2090.0,1188636.0,26
264,2016,NV,Nevada,Cognitive Disability,0.128,478.0,282998.0,32
265,2016,MO,Missouri,Vision Disability,0.046,404.0,227559.0,29
266,2016,MT,Montana,Cognitive Disability,0.089,549.0,71520.0,30
267,2016,NE,Nebraska,Hearing Disability,0.055,1365.0,86544.0,31
268,2016,MO,Missouri,Self-care Disability,0.035,377.0,176981.0,29
269,2016,MO,Missouri,Hearing Disability,0.06,679.0,313088.0,29
270,2016,MN,Minnesota,Self-care Disability,0.025,478.0,109880.0,27
271,2016,MN,Minnesota,Any Disability,0.217,4055.0,933297.0,27
272,2016,MS,Mississippi,Self-care Disability,0.053,345.0,126261.0,28
273,2016,NE,Nebraska,Cognitive Disability,0.0819999999999999,1106.0,115602.0,31
274,2016,NE,Nebraska,No Disability,0.792,10949.0,1100329.0,31
275,2016,MT,Montana,Mobility Disability,0.1159999999999999,1079.0,108380.0,30
276,2016,MI,Michigan,No Disability,0.713,7988.0,5248953.0,26
277,2016,MA,Massachusetts,No Disability,0.772,5807.0,3913416.0,25
278,2016,MO,Missouri,Independent Living Disability,0.087,729.0,415300.0,29
279,2016,NV,Nevada,Any Disability,0.28,1288.0,640482.0,32
280,2016,MS,Mississippi,Hearing Disability,0.084,535.0,202366.0,28
281,2016,MT,Montana,No Disability,0.754,3895.0,579585.0,30
282,2016,MS,Mississippi,Mobility Disability,0.193,1312.0,463134.0,28
283,2016,NV,Nevada,Self-care Disability,0.039,171.0,90445.0,32
284,2016,MN,Minnesota,Vision Disability,0.031,557.0,135481.0,27
285,2016,MO,Missouri,Any Disability,0.272,2402.0,1319633.0,29
286,2016,MO,Missouri,Cognitive Disability,0.121,791.0,554125.0,29
287,2016,MI,Michigan,Self-care Disability,0.042,532.0,338918.0,26
288,2016,MN,Minnesota,Hearing Disability,0.054,1255.0,248625.0,27
289,2016,MS,Mississippi,Independent Living Disability,0.106,645.0,248405.0,28
290,2016,MT,Montana,Vision Disability,0.037,300.0,32012.0,30
291,2016,MI,Michigan,Independent Living Disability,0.079,972.0,621481.0,26
292,2016,MA,Massachusetts,Hearing Disability,0.052,560.0,305178.0,25
293,2016,NE,Nebraska,Independent Living Disability,0.051,852.0,74491.0,31
294,2016,MO,Missouri,Mobility Disability,0.1369999999999999,1482.0,702096.0,29
295,2016,NV,Nevada,Hearing Disability,0.065,364.0,155013.0,32
296,2016,MT,Montana,Hearing Disability,0.084,769.0,77888.0,30
297,2016,MI,Michigan,Cognitive Disability,0.144,1479.0,1064484.0,26
298,2016,MS,Mississippi,Cognitive Disability,0.148,756.0,331216.0,28
299,2016,NV,Nevada,Vision Disability,0.046,215.0,107159.0,32
300,2016,MA,Massachusetts,Cognitive Disability,0.099,752.0,507231.0,25
301,2016,MA,Massachusetts,Any Disability,0.228,2165.0,1226532.0,25
302,2016,MN,Minnesota,Cognitive Disability,0.096,1461.0,390643.0,27
303,2016,MI,Michigan,Any Disability,0.287,3682.0,2254450.0,26
304,2016,NE,Nebraska,Self-care Disability,0.025,437.0,37986.0,31
305,2016,MI,Michigan,Vision Disability,0.045,592.0,363755.0,26
306,2016,MS,Mississippi,Any Disability,0.335,2017.0,775664.0,28
307,2016,MN,Minnesota,No Disability,0.7829999999999999,12243.0,3170383.0,27
308,2016,MA,Massachusetts,Self-care Disability,0.031,309.0,168476.0,25
309,2016,MA,Massachusetts,Vision Disability,0.042,390.0,230048.0,25
310,2016,NE,Nebraska,Vision Disability,0.0279999999999999,571.0,42137.0,31
311,2016,NV,Nevada,No Disability,0.72,2941.0,1558890.0,32
312,2016,MT,Montana,Any Disability,0.246,1944.0,215715.0,30
313,2016,MI,Michigan,Hearing Disability,0.063,965.0,535959.0,26
314,2016,MT,Montana,Self-care Disability,0.032,249.0,28066.0,30
315,2016,NV,Nevada,Independent Living Disability,0.086,332.0,194711.0,32
316,2016,MT,Montana,Independent Living Disability,0.059,424.0,51112.0,30
317,2016,MA,Massachusetts,Mobility Disability,0.102,1208.0,583055.0,25
318,2016,NE,Nebraska,Mobility Disability,0.093,2043.0,144159.0,31
319,2016,MN,Minnesota,Independent Living Disability,0.047,827.0,198605.0,27
320,2016,MS,Mississippi,Vision Disability,0.078,471.0,183163.0,28
321,2016,MO,Missouri,No Disability,0.728,4532.0,3265466.0,29
322,2016,NC,North Carolina,No Disability,0.755,4497.0,5670519.0,37
323,2016,NM,New Mexico,Cognitive Disability,0.13,715.0,201840.0,35
324,2016,OH,Ohio,Cognitive Disability,0.1119999999999999,1284.0,970976.0,39
325,2016,NM,New Mexico,Any Disability,0.276,1898.0,446098.0,35
326,2016,OK,Oklahoma,Hearing Disability,0.086,830.0,272690.0,40
327,2016,ND,North Dakota,Self-care Disability,0.023,156.0,13433.0,38
328,2016,NY,New York,Any Disability,0.216,8910.0,3321032.0,36
329,2016,NH,New Hampshire,Vision Disability,0.031,259.0,34118.0,33
330,2016,OK,Oklahoma,Any Disability,0.307,2517.0,915771.0,40
331,2016,NC,North Carolina,Self-care Disability,0.038,294.0,317770.0,37
332,2016,ND,North Dakota,Vision Disability,0.024,145.0,14267.0,38
333,2016,NJ,New Jersey,Self-care Disability,0.034,294.0,250360.0,34
334,2016,NJ,New Jersey,Vision Disability,0.0409999999999999,342.0,296090.0,34
335,2016,OH,Ohio,Mobility Disability,0.13,2359.0,1282692.0,39
336,2016,NC,North Carolina,Any Disability,0.245,1867.0,1981999.0,37
337,2016,OK,Oklahoma,Independent Living Disability,0.08,627.0,240267.0,40
338,2016,ND,North Dakota,Independent Living Disability,0.048,274.0,27669.0,38
339,2016,NM,New Mexico,No Disability,0.7240000000000001,3930.0,1083948.0,35
340,2016,NY,New York,Independent Living Disability,0.061,2542.0,934398.0,36
341,2016,ND,North Dakota,No Disability,0.805,4284.0,450686.0,38
342,2016,NJ,New Jersey,Hearing Disability,0.047,540.0,356254.0,34
343,2016,NH,New Hampshire,Any Disability,0.235,1762.0,253885.0,33
344,2016,NH,New Hampshire,Self-care Disability,0.027,217.0,30426.0,33
345,2016,OH,Ohio,Vision Disability,0.04,660.0,380306.0,39
346,2016,OH,Ohio,Hearing Disability,0.061,1170.0,605689.0,39
347,2016,NJ,New Jersey,Any Disability,0.2339999999999999,2105.0,1660706.0,34
348,2016,NY,New York,Mobility Disability,0.12,5398.0,1937053.0,36
349,2016,NH,New Hampshire,Mobility Disability,0.1,966.0,118520.0,33
350,2016,OK,Oklahoma,Self-care Disability,0.049,378.0,147651.0,40
351,2016,OK,Oklahoma,Vision Disability,0.054,425.0,163027.0,40
352,2016,NC,North Carolina,Mobility Disability,0.139,1153.0,1174948.0,37
353,2016,NC,North Carolina,Vision Disability,0.047,359.0,381066.0,37
354,2016,NM,New Mexico,Mobility Disability,0.134,1077.0,229589.0,35
355,2016,ND,North Dakota,Mobility Disability,0.09,725.0,54785.0,38
356,2016,NM,New Mexico,Self-care Disability,0.042,302.0,71343.0,35
357,2016,NJ,New Jersey,Independent Living Disability,0.062,551.0,443626.0,34
358,2016,NH,New Hampshire,Cognitive Disability,0.1119999999999999,592.0,110385.0,33
359,2016,NY,New York,Cognitive Disability,0.086,3133.0,1273473.0,36
360,2016,NJ,New Jersey,No Disability,0.7659999999999999,5223.0,5016308.0,34
361,2016,NH,New Hampshire,Hearing Disability,0.06,574.0,71604.0,33
362,2016,ND,North Dakota,Cognitive Disability,0.079,331.0,44121.0,38
363,2016,NC,North Carolina,Hearing Disability,0.054,462.0,458553.0,37
364,2016,OH,Ohio,Any Disability,0.252,3867.0,2343380.0,39
365,2016,NY,New York,Vision Disability,0.035,1409.0,548753.0,36
366,2016,NH,New Hampshire,No Disability,0.765,4458.0,786328.0,33
367,2016,OK,Oklahoma,No Disability,0.693,4133.0,1923835.0,40
368,2016,OH,Ohio,Independent Living Disability,0.063,918.0,574170.0,39
369,2016,NC,North Carolina,Independent Living Disability,0.066,499.0,534801.0,37
370,2016,OH,Ohio,No Disability,0.748,8172.0,6424802.0,39
371,2016,NM,New Mexico,Independent Living Disability,0.08,518.0,128044.0,35
372,2016,NM,New Mexico,Vision Disability,0.057,378.0,93535.0,35
373,2016,NM,New Mexico,Hearing Disability,0.067,562.0,115390.0,35
374,2016,NY,New York,Hearing Disability,0.035,1893.0,575134.0,36
375,2016,NC,North Carolina,Cognitive Disability,0.1119999999999999,742.0,867439.0,37
376,2016,OK,Oklahoma,Mobility Disability,0.1689999999999999,1591.0,523881.0,40
377,2016,NH,New Hampshire,Independent Living Disability,0.065,432.0,67836.0,33
378,2016,OH,Ohio,Self-care Disability,0.032,505.0,304451.0,39
379,2016,NJ,New Jersey,Cognitive Disability,0.095,712.0,647979.0,34
380,2016,NY,New York,Self-care Disability,0.032,1335.0,513000.0,36
381,2016,NY,New York,No Disability,0.784,23400.0,11168644.0,36
382,2016,ND,North Dakota,Any Disability,0.195,1252.0,114217.0,38
383,2016,OK,Oklahoma,Cognitive Disability,0.135,878.0,392111.0,40
384,2016,NJ,New Jersey,Mobility Disability,0.1169999999999999,1234.0,884006.0,34
385,2016,ND,North Dakota,Hearing Disability,0.045,346.0,27625.0,38
386,2016,SD,South Dakota,Hearing Disability,0.067,558.0,49298.0,46
387,2016,OR,Oregon,Vision Disability,0.031,175.0,100929.0,41
388,2016,TN,Tennessee,Vision Disability,0.06,443.0,321565.0,47
389,2016,PA,Pennsylvania,Independent Living Disability,0.06,410.0,624951.0,42
390,2016,PA,Pennsylvania,Self-care Disability,0.0289999999999999,214.0,317499.0,42
392,2016,SC,South Carolina,Any Disability,0.2789999999999999,3799.0,1118059.0,45
393,2016,OR,Oregon,Independent Living Disability,0.062,324.0,190337.0,41
394,2016,RI,Rhode Island,Mobility Disability,0.111,816.0,101040.0,44
396,2016,SC,South Carolina,Vision Disability,0.0579999999999999,756.0,232912.0,45
397,2016,SD,South Dakota,Cognitive Disability,0.069,393.0,43714.0,46
398,2016,OR,Oregon,Mobility Disability,0.113,731.0,377402.0,41
399,2016,RI,Rhode Island,Hearing Disability,0.05,377.0,46355.0,44
400,2016,SC,South Carolina,No Disability,0.721,7073.0,2631946.0,45
401,2016,RI,Rhode Island,No Disability,0.762,3826.0,612286.0,44
402,2016,OR,Oregon,Any Disability,0.249,1375.0,782790.0,41
403,2016,PA,Pennsylvania,Vision Disability,0.033,230.0,350973.0,42
404,2016,OR,Oregon,No Disability,0.7509999999999999,3735.0,2235657.0,41
406,2016,SD,South Dakota,Mobility Disability,0.093,870.0,67922.0,46
407,2016,TN,Tennessee,Cognitive Disability,0.138,805.0,690788.0,47
408,2016,SC,South Carolina,Mobility Disability,0.147,2371.0,621764.0,45
409,2016,SD,South Dakota,Self-care Disability,0.023,190.0,16478.0,46
410,2016,TN,Tennessee,Independent Living Disability,0.078,589.0,412080.0,47
411,2016,SD,South Dakota,Any Disability,0.204,1572.0,141365.0,46
412,2016,OR,Oregon,Hearing Disability,0.048,331.0,168580.0,41
414,2016,TN,Tennessee,Hearing Disability,0.07,586.0,387292.0,47
415,2016,PA,Pennsylvania,No Disability,0.768,4931.0,7397012.0,42
416,2016,SD,South Dakota,Vision Disability,0.032,224.0,22550.0,46
418,2016,SC,South Carolina,Cognitive Disability,0.127,1393.0,486052.0,45
419,2016,RI,Rhode Island,Self-care Disability,0.025,178.0,22947.0,44
421,2016,RI,Rhode Island,Vision Disability,0.04,228.0,34283.0,44
422,2016,PA,Pennsylvania,Cognitive Disability,0.1,634.0,975140.0,42
423,2016,TN,Tennessee,Self-care Disability,0.036,315.0,199024.0,47
424,2016,TN,Tennessee,Mobility Disability,0.161,1350.0,889117.0,47
425,2016,SD,South Dakota,Independent Living Disability,0.054,354.0,35868.0,46
427,2016,PA,Pennsylvania,Hearing Disability,0.045,392.0,525068.0,42
428,2016,RI,Rhode Island,Independent Living Disability,0.069,403.0,57221.0,44
429,2016,TN,Tennessee,Any Disability,0.303,2128.0,1588738.0,47
430,2016,SC,South Carolina,Independent Living Disability,0.073,1052.0,296682.0,45
432,2016,OR,Oregon,Cognitive Disability,0.128,589.0,382223.0,41
433,2016,PA,Pennsylvania,Any Disability,0.2319999999999999,1673.0,2450613.0,42
434,2016,SC,South Carolina,Hearing Disability,0.062,986.0,265718.0,45
435,2016,TN,Tennessee,No Disability,0.6970000000000001,3791.0,3378155.0,47
436,2016,SD,South Dakota,No Disability,0.7959999999999999,4077.0,495290.0,46
437,2016,SC,South Carolina,Self-care Disability,0.042,634.0,172731.0,45
438,2016,RI,Rhode Island,Cognitive Disability,0.121,531.0,95569.0,44
439,2016,OR,Oregon,Self-care Disability,0.032,192.0,104080.0,41
440,2016,PA,Pennsylvania,Mobility Disability,0.118,984.0,1344397.0,42
441,2016,RI,Rhode Island,Any Disability,0.238,1433.0,201338.0,44
442,2016,VA,Virginia,No Disability,0.777,6326.0,4884021.0,51
443,2016,US,"United States, DC & Territories",Self-care Disability,0.035,19864.0,9096938.0,59
444,2016,VA,Virginia,Independent Living Disability,0.05,542.0,329758.0,51
445,2016,US,"United States, DC & Territories",No Disability,0.754,327817.0,179651923.0,59
446,2016,WV,West Virginia,Mobility Disability,0.1939999999999999,1707.0,321908.0,54
447,2016,WA,Washington,Hearing Disability,0.051,1035.0,304306.0,53
448,2016,WA,Washington,Cognitive Disability,0.098,1267.0,539082.0,53
449,2016,VI,U.S. Virgin Islands,Vision Disability,0.047,57.0,3945.0,78
450,2016,VT,Vermont,Cognitive Disability,0.096,548.0,45826.0,50
451,2016,UT,Utah,Hearing Disability,0.0559999999999999,814.0,109395.0,49
452,2016,WV,West Virginia,No Disability,0.634,4120.0,865847.0,54
453,2016,UT,Utah,Any Disability,0.208,2566.0,416818.0,49
454,2016,TX,Texas,Vision Disability,0.0559999999999999,708.0,1142336.0,48
455,2016,WV,West Virginia,Hearing Disability,0.115,1023.0,193170.0,54
456,2016,UT,Utah,Vision Disability,0.035,412.0,70611.0,49
457,2016,VT,Vermont,Vision Disability,0.03,262.0,16503.0,50
458,2016,VA,Virginia,Mobility Disability,0.106,1344.0,729702.0,51
459,2016,WV,West Virginia,Self-care Disability,0.052,410.0,82201.0,54
